method,model,language,project,func_name,id,side
asap,70B,java,real-logic/aeron,ArchiveProxy.getRecordingPosition,649,0.9546990394592285
asap,70B,java,real-logic/aeron,AeronArchive.findLastMatchingRecording,650,0.8822711110115051
asap,70B,java,real-logic/aeron,ServiceHeartbeat.allocate,651,0.8924864530563354
asap,70B,java,real-logic/aeron,ServiceHeartbeat.findCounterId,652,0.8386779427528381
asap,70B,java,real-logic/aeron,ClusterMember.hasWonVoteOnFullCount,653,0.9706243276596069
asap,70B,java,real-logic/aeron,ClusterMember.hasMajorityVote,654,0.9433827996253967
asap,70B,java,real-logic/aeron,ClusterMember.addMemberStatusPublications,655,0.6584415435791016
asap,70B,java,real-logic/aeron,ClusterMember.closeMemberPublications,656,0.9356273412704468
asap,70B,java,real-logic/aeron,ClusterMember.resetLogPositions,657,0.9635573625564575
asap,70B,java,real-logic/aeron,ClusterMember.haveVotersReachedPosition,658,0.9906659722328186
asap,70B,java,real-logic/aeron,ChannelUriStringBuilder.linger,659,0.8889891505241394
asap,70B,java,real-logic/aeron,RecordingLog.tombstoneEntry,660,0.8491829633712769
asap,70B,java,real-logic/aeron,ClusterMember.quorumPosition,661,0.6204043030738831
asap,70B,java,real-logic/aeron,ArchiveProxy.extendRecording,662,0.8128509521484375
asap,70B,java,real-logic/aeron,ChannelUri.addSessionId,663,0.9369794726371765
asap,70B,java,real-logic/aeron,ClusterNodeRole.findCounterId,664,0.8999686241149902
asap,70B,java,real-logic/aeron,RecordingPos.isActive,665,0.9057132601737976
asap,70B,java,real-logic/aeron,RecordingLog.createRecoveryPlan,666,0.9161922335624695
asap,70B,java,real-logic/aeron,RecoveryState.hasReplay,667,0.9744012355804443
asap,70B,java,real-logic/aeron,RecordingLog.reload,668,0.7758551239967346
asap,70B,java,real-logic/aeron,RecoveryState.allocate,669,0.8795638680458069
asap,70B,java,real-logic/aeron,ClusteredServiceContainer.main,670,0.7052148580551147
asap,70B,java,real-logic/aeron,RecordingPos.findCounterIdByRecording,671,0.844862163066864
asap,70B,java,real-logic/aeron,RecordingPos.findCounterIdBySession,672,0.795127272605896
asap,70B,java,real-logic/aeron,ArchiveProxy.listRecording,673,0.43559831380844116
asap,70B,java,real-logic/aeron,ClusterControl.findControlToggle,674,0.8855932950973511
asap,70B,java,real-logic/aeron,RecordingLog.appendTerm,675,0.89192134141922
asap,70B,java,real-logic/aeron,RecordingLog.appendSnapshot,676,0.9740737080574036
asap,70B,java,real-logic/aeron,RecordingLog.commitLogPosition,677,0.9015339612960815
asap,70B,java,real-logic/aeron,RecordingPos.getRecordingId,678,0.8894753456115723
asap,70B,java,real-logic/aeron,ArchiveProxy.stopReplay,679,0.9763662815093994
asap,70B,java,real-logic/aeron,AeronArchive.stopReplay,680,0.9834815263748169
asap,70B,java,real-logic/aeron,RecordingDescriptorPoller.reset,681,0.7335253953933716
asap,70B,java,real-logic/aeron,ClientSession.offer,682,0.7911337614059448
asap,70B,java,real-logic/aeron,CounterMessageFlyweight.keyBuffer,683,0.8192205429077148
asap,70B,java,real-logic/aeron,CounterMessageFlyweight.labelBuffer,684,0.8146151304244995
asap,70B,java,real-logic/aeron,ConcurrentPublication.offer,685,0.5860757827758789
asap,70B,java,real-logic/aeron,AeronCluster.close,686,0.9897127151489258
asap,70B,java,real-logic/aeron,StatusUtil.sendChannelStatus,687,0.5751594305038452
asap,70B,java,real-logic/aeron,StatusUtil.receiveChannelStatus,688,0.6781246662139893
asap,70B,java,real-logic/aeron,LogBufferDescriptor.checkPageSize,689,0.8521941900253296
asap,70B,java,real-logic/aeron,Configuration.validatePageSize,690,0.9505680203437805
asap,70B,java,real-logic/aeron,LogBufferDescriptor.casRawTail,691,0.5858917832374573
asap,70B,java,real-logic/aeron,ExclusivePublication.offer,692,0.5223939418792725
asap,70B,java,real-logic/aeron,ExclusiveTermAppender.appendFragmentedMessage,693,0.9564117789268494
asap,70B,java,real-logic/aeron,DirectBufferVector.validateAndComputeLength,694,0.8199961185455322
asap,70B,java,real-logic/aeron,DirectBufferVector.reset,695,0.9481022357940674
asap,70B,java,real-logic/aeron,ClusteredMediaDriver.main,696,0.7554649710655212
asap,70B,java,real-logic/aeron,DirectBufferVector.validate,697,0.9123811721801758
asap,70B,java,real-logic/aeron,UdpChannel.description,698,0.5707107782363892
asap,70B,java,real-logic/aeron,Configuration.validateSocketBufferLengths,699,0.9418339729309082
asap,70B,java,spring-projects/spring-security,CurrentSecurityContextArgumentResolver.resolveArgument,700,0.7095447778701782
asap,70B,java,spring-projects/spring-security,CurrentSecurityContextArgumentResolver.isInvalidType,701,0.9303305149078369
asap,70B,java,spring-projects/spring-security,DefaultOAuth2AuthorizationRequestResolver.addPkceParameters,702,0.5255157947540283
asap,70B,java,spring-projects/spring-security,JwtGrantedAuthoritiesConverter.convert,703,0.4124811589717865
asap,70B,java,spring-projects/spring-security,NimbusJwtDecoder.decode,704,0.026599254459142685
asap,70B,java,spring-projects/spring-security,HttpSecurity.oauth2Client,705,0.9569931030273438
asap,70B,java,spring-projects/spring-security,ActiveDirectoryLdapAuthenticationProvider.setContextEnvironmentProperties,706,0.9719147682189941
asap,70B,java,spring-projects/spring-security,AbstractAuthenticationFilterConfigurer.updateAccessDefaults,707,0.13447731733322144
asap,70B,java,spring-projects/spring-security,ReactiveRemoteJWKSource.getJWKSet,708,0.6277003288269043
